quizzes,solutions
004300209005009001070060043006002087190007400050083000600000105003508690042910300,864371259325849761971265843436192587198657432257483916689734125713528694542916378
040100050107003960520008000000000017000906800803050620090060543600080700250097100,346179258187523964529648371965832417472916835813754629798261543631485792254397186
600120384008459072000006005000264030070080006940003000310000050089700000502000190,695127384138459672724836915851264739273981546946573821317692458489715263562348197
497200000100400005000016098620300040300900000001072600002005870000600004530097061,497258316186439725253716498629381547375964182841572639962145873718623954534897261
005910308009403060027500100030000201000820007006007004000080000640150700890000420,465912378189473562327568149738645291954821637216397854573284916642159783891736425
100005007380900000600000480820001075040760020069002001005039004000020100000046352,194685237382974516657213489823491675541768923769352841215839764436527198978146352
009065430007000800600108020003090002501403960804000100030509007056080000070240090,289765431317924856645138729763891542521473968894652173432519687956387214178246395
000000657702400100350006000500020009210300500047109008008760090900502030030018206,894231657762495183351876942583624719219387564647159328128763495976542831435918276
503070190000006750047190600400038000950200300000010072000804001300001860086720005,563472198219386754847195623472638519951247386638519472795864231324951867186723945
060720908084003001700100065900008000071060000002010034000200706030049800215000090,163725948584693271729184365946358127371462589852917634498231756637549812215876493
004083002051004300000096710120800006040000500830607900060309040007000205090050803,974183652651274389283596714129835476746912538835647921568329147317468295492751863
000060280709001000860320074900040510007190340003006002002970000300800905500000021,431567289729481653865329174986243517257198346143756892612975438374812965598634721
004300000890200670700900050500008140070032060600001308001750900005040012980006005,254367891893215674716984253532698147178432569649571328421753986365849712987126435
008070100120090054000003020604010089530780010009062300080040607007506000400800002,958274163123698754746153928674315289532789416819462375285941637397526841461837592
065370002000001370000640800097004028080090001100020940040006700070018050230900060,865379412924581376713642895397164528482795631156823947541236789679418253238957164
005710329000362800004000000100000980083900250006003100300106000409800007070029500,865714329917362845234598761142657983783941256596283174358176492429835617671429538
200005300000073850000108904070009001651000040040200080300050000580760100410030096,268495317194673852735128964872549631651387249943216785326951478589764123417832596
040800500080760092001005470056309000009001004320500010000200700700090030005008026,947812563583764192261935478156349287879621354324587619698253741712496835435178926
050083017000100400304005608000030009090824500006000070009000050007290086103607204,652483917978162435314975628825736149791824563436519872269348751547291386183657294
700084005300701020080260401624109038803600010000000002900000000001005790035400006,712984365346751829589263471624179538853642917197538642978316254461825793235497186
067050010084309000003080040090000205000621790700093600300400000020007153500800076,967254318184379562253186947691748235835621794742593681376415829428967153519832476
001409030000306052007008190060020800000003065894507000403091080079040026000700900,251479638948316752637258194365124879712983465894567213423691587179845326586732941
206030000001065070047108050500000029008019406000420001000042800609300005070000013,256734198891265374347198652514683729728519436963427581135942867689371245472856913
004502178100090030000800004600450000070900012801203500400000009350060807090300620,964532178187694235235817964629451783573986412841273596416728359352169847798345621
140060800085010040907400250030070400209000307008900060000740010601305090700002600,142569873385217946967438251536871429219654387478923165893746512621385794754192638
590000147000900008072000030700040290020030806800170050005764009036005000100800002,598326147314957628672481935753648291421539876869172453285764319936215784147893562
100000090208970605000532000006050400700806002083700010604080120890600050015040007,157468293238971645469532781926153478741896532583724916674385129892617354315249867
900084060604005207030070080760001500053000001000409603105026090002040000800003710,927384165684915237531672489769231548453768921218459673175826394392147856846593712
308056007006900253012040000000000320904800000760109805000001904831000506040007030,398256417476918253512743698185674329924835761763129845257361984831492576649587132
170300009008040600000060030600800001924600300300902500010200040709503016005007800,176328459538149672492765138657834921924651387381972564813296745749583216265417893
004030021070005009380690000030000000602100450010907003000846700560001240008250030,954738621276415389381692574837564912692183457415927863123846795569371248748259136
083200096200030704007915000402390008010004060069870000000400007500060280070050900,183247596295638714647915832452396178718524369369871425921483657534769281876152943
803000270409008000700024096000006915001802000030750000054000060608100003372009140,863915274429678351715324896287436915541892637936751482154283769698147523372569148
070490103003070590050000000000000061100749020024306008600980700012600000480007052,276495183843271596951863247397528461168749325524316978635982714712654839489137652
830040096020010008904700030409002065308001070000603800507030020000506400002080100,831245796726319548954768231419872365368451972275693814587134629193526487642987153
060250000792006100000081600009000500410009780207300004000763010300540290800000040,168257439792436158543981672639874521415629783287315964924763815371548296856192347
050400680090100000008059302007203000000600208604080005036004190100007000072800050,751432689293168574468759312587243961319675248624981735836524197145397826972816453
010092047000700609600040100003000000720008900840105070106400280480030000900017005,318692547254781639697543128563974812721368954849125376176459283485236791932817465
078010609203009008410060052720106030000400700091305000932000400005720010000008006,578213649263549178419867352724196835356482791891375264932651487685724913147938526
056010000280030040040090765790003008005760000000004001100600203020001400060805900,956417832287536149341298765794153628815762394632984571178649253529371486463825917
000001847010000000059348006300020004076100500200006790040207069007800415003590000,632951847814672953759348126391725684476189532285436791548217369927863415163594278
205040003001009000046001587004607090802000056090020340170008200000500800500903001,285746913731859624946231587354687192812394756697125348179468235463512879528973461
103800000906400072000205090090070050084901300002506000210004005308700401070080600,123897546956413872847265193691378254584921367732546918219634785368759421475182639
850420370003000010000170009000500602029304000010000438046090805005000900702840003,851429376973658214264173589438517692629384751517962438346791825185236947792845163
061490020280007050003108007600704031000250074090600000000010008570000206800906000,761495823284367159953128467625784931138259674497631582346512798579843216812976345
608900050000320190010000300400073600570260000003105020080000064020090507047008001,638917452754326198219584376492873615571269843863145729185732964326491587947658231
000700900004300527010006084800094053040001200962080070100869000700020130059000000,538742916694318527217956384871294653345671298962583471123869745786425139459137862
680905000003000508402108703390720800000000010045006900060804002001002075700013000,687935241913247568452168793396721854278459316145386927569874132831692475724513689
600837001089004700102000400000450020030609005040000860908006070700098010005100930,654837291389214756172965483896451327237689145541723869918346572723598614465172938
000067430800009150500003009007000010001806304940350020009010502608200700400708000,192567438873429156564183279387942615251876394946351827739614582618295743425738961
063700401400000000700091300092076030004500260035000100509040820087010609000003000,963752481451368972728491356892176534174539268635824197519647823387215649246983715
000340002006082073700100450082005014000098300670000005140700000905030020030000806,851347692496582173723169458382675914514298367679413285148726539965834721237951846
008070600960001405402000010200830090600790103007004026500900307030020500000310089,158479632963281475472563918215836794684792153397154826521948367839627541746315289
087200490060891000005000002400300500019002803000706200030050600500060017071403050,187235496264891735395674182426389571719542863853716249938157624542968317671423958
107008000650100000300060072060030250480009700001407009000000800003980015040203060,127398546654172398398564172769831254482659731531427689916745823273986415845213967
000704010803620907016090000000100406598400002000030079034075000100900360250300040,925784613843621957716593824372159486598467132461238579634875291187942365259316748
500038701026004850300072940054100300890400000000060000003000069000721400401390000,549638721726914853318572946654187392892453617137269584273845169965721438481396275
600050000073008020854027000201700530400069007080000900027301084060540009300000001,612453798973618425854927163291784536435269817786135942527391684168542379349876251
000900406701040002009501378012300009300004080085000230050007000093008600020600541,538972416761843952249561378412385769376294185985716234654127893193458627827639541
007500904000082305001600002800036070016004200430190050540008000029071030000000609,287513964964782315351649782895236471716854293432197856543968127629471538178325649
001040730630900004075000200000000501069001000004002079980500602710609300000203080,291845736638927154475136298327498561869751423154362879983574612712689345546213987
